"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Targeted","Targeted","Targeted","14/23","44/89",0.151246780927183,0.302493561854366,0.302493561854366,"CTDNEP1/DIAPH3/ELOVL1/HDAC3/HNRNPU/LNPK/NDC1/NF2/NRM/NUP98/RANBP2/RASA1/SMARCA4/TMEM147",14
"Non-Targeted","Non-Targeted","Non-Targeted","9/23","45/89",0.935593243484518,0.935593243484518,0.935593243484518,"ARID4A/CAMSAP2/CARD8/ECD/MYCBP2/PDPK1/PSMC1/S100A4/SIRPG",9
